BEAM NAME	EMISS/REC	FREQUENCY	BANDWIDTH	FREQUENCY MIN	FREQUENCY MAX	CLASS OF STN
C1UR	R	5945.00000	36000	5927.000	5963.000	EC
C1UR	R	5985.00000	36000	5967.000	6003.000	EC
C1UR	R	6025.00000	36000	6007.000	6043.000	EC
C1UR	R	6065.00000	36000	6047.000	6083.000	EC
C1UR	R	6105.00000	36000	6087.000	6123.000	EC
C1UR	R	6145.00000	36000	6127.000	6163.000	EC
C1UR	R	6185.00000	36000	6167.000	6203.000	EC
C1UR	R	6225.00000	36000	6207.000	6243.000	EC
C1UR	R	6265.00000	36000	6247.000	6283.000	EC
C1UR	R	6305.00000	36000	6287.000	6323.000	EC
C1UR	R	6345.00000	36000	6327.000	6363.000	EC
C1UR	R	6385.00000	36000	6367.000	6403.000	EC
C1UR	R	6445.00000	36000	6427.000	6463.000	EC
C1UR	R	6485.00000	36000	6467.000	6503.000	EC
C1UR	R	6525.00000	36000	6507.000	6543.000	EC
C1UR	R	6565.00000	36000	6547.000	6583.000	EC
C1UR	R	6605.00000	36000	6587.000	6623.000	EC
C1UR	R	6645.00000	36000	6627.000	6663.000	EC
C1UR	R	6685.00000	36000	6667.000	6703.000	EC
C2UR	R	5965.00000	36000	5947.000	5983.000	EC
C2UR	R	6005.00000	36000	5987.000	6023.000	EC
C2UR	R	6045.00000	36000	6027.000	6063.000	EC
C2UR	R	6085.00000	36000	6067.000	6103.000	EC
C2UR	R	6125.00000	36000	6107.000	6143.000	EC
C2UR	R	6165.00000	36000	6147.000	6183.000	EC
C2UR	R	6205.00000	36000	6187.000	6223.000	EC
C2UR	R	6245.00000	36000	6227.000	6263.000	EC
C2UR	R	6285.00000	36000	6267.000	6303.000	EC
C2UR	R	6325.00000	36000	6307.000	6343.000	EC
C2UR	R	6365.00000	36000	6347.000	6383.000	EC
C2UR	R	6405.00000	36000	6387.000	6423.000	EC
C2UR	R	6465.00000	36000	6447.000	6483.000	EC
C2UR	R	6505.00000	36000	6487.000	6523.000	EC
C2UR	R	6545.00000	36000	6527.000	6563.000	EC
C2UR	R	6585.00000	36000	6567.000	6603.000	EC
C2UR	R	6625.00000	36000	6607.000	6643.000	EC
C2UR	R	6665.00000	36000	6647.000	6683.000	EC
C2UR	R	6705.00000	36000	6687.000	6723.000	EC
K1UR	R	13784.00000	54000	13757.000	13811.000	EC
K1UR	R	13846.00000	54000	13819.000	13873.000	EC
K1UR	R	13908.00000	54000	13881.000	13935.000	EC
K1UR	R	13970.00000	54000	13943.000	13997.000	EC
K1UR	R	14032.00000	54000	14005.000	14059.000	EC
K1UR	R	14094.00000	54000	14067.000	14121.000	EC
K1UR	R	14156.00000	54000	14129.000	14183.000	EC
K1UR	R	14218.00000	54000	14191.000	14245.000	EC
K1UR	R	14280.00000	54000	14253.000	14307.000	EC
K1UR	R	14342.00000	54000	14315.000	14369.000	EC
K1UR	R	14404.00000	54000	14377.000	14431.000	EC
K1UR	R	14466.00000	54000	14439.000	14493.000	EC
K2UR	R	13784.00000	54000	13757.000	13811.000	EC
K2UR	R	13846.00000	54000	13819.000	13873.000	EC
K2UR	R	13908.00000	54000	13881.000	13935.000	EC
K2UR	R	13970.00000	54000	13943.000	13997.000	EC
K2UR	R	14032.00000	54000	14005.000	14059.000	EC
K2UR	R	14094.00000	54000	14067.000	14121.000	EC
K2UR	R	14156.00000	54000	14129.000	14183.000	EC
K2UR	R	14218.00000	54000	14191.000	14245.000	EC
K2UR	R	14280.00000	54000	14253.000	14307.000	EC
K2UR	R	14342.00000	54000	14315.000	14369.000	EC
K2UR	R	14404.00000	54000	14377.000	14431.000	EC
K2UR	R	14466.00000	54000	14439.000	14493.000	EC
C1DR	E	3420.00000	36000	3402.000	3438.000	EC
C1DR	E	3460.00000	36000	3442.000	3478.000	EC
C1DR	E	3500.00000	36000	3482.000	3518.000	EC
C1DR	E	3540.00000	36000	3522.000	3558.000	EC
C1DR	E	3580.00000	36000	3562.000	3598.000	EC
C1DR	E	3620.00000	36000	3602.000	3638.000	EC
C1DR	E	3660.00000	36000	3642.000	3678.000	EC
C1DR	E	3720.00000	36000	3702.000	3738.000	EC
C1DR	E	3760.00000	36000	3742.000	3778.000	EC
C1DR	E	3800.00000	36000	3782.000	3818.000	EC
C1DR	E	3840.00000	36000	3822.000	3858.000	EC
C1DR	E	3880.00000	36000	3862.000	3898.000	EC
C1DR	E	3920.00000	36000	3902.000	3938.000	EC
C1DR	E	3960.00000	36000	3942.000	3978.000	EC
C1DR	E	4000.00000	36000	3982.000	4018.000	EC
C1DR	E	4040.00000	36000	4022.000	4058.000	EC
C1DR	E	4080.00000	36000	4062.000	4098.000	EC
C1DR	E	4120.00000	36000	4102.000	4138.000	EC
C1DR	E	4160.00000	36000	4142.000	4178.000	EC
C2DR	E	3440.00000	36000	3422.000	3458.000	EC
C2DR	E	3480.00000	36000	3462.000	3498.000	EC
C2DR	E	3520.00000	36000	3502.000	3538.000	EC
